Cod,Nome do alimento,Nível 1 ,Nível 2,Nível 3 ,"Energia
[kcal] ","Energia
[kJ] ","Lípidos
[g]","Ácidos gordos saturados
[g] ","Ácidos gordos monoinsaturados 
[g]","Ácidos gordos polinsaturados 
[g]","Ácido linoleico 
[g] ","Ácidos gordos trans 
[g]","Hidratos de carbono 
[g]","Açúcares 
[g] ","Oligossacáridos 
[g] ","Amido 
[g]","Fibra  
[g]","Proteínas 
[g] ","Sal  
[g]","Álcool 
[g] ","Água 
[g] ","Ácidos orgânicos 
[g] ","Colesterol 
[mg]","Vitamina A  
[µg]","Caroteno 
[µg]","Vitamina D 
[µg]","alfa-tocoferol 
[mg]","Tiamina 
[mg] ","Riboflavina 
[mg] ","Niacina 
[mg]","Equivalentes de niacina 
[mg]","Triptofano/60 
[mg]","Vitamina B6 
[mg]","Vitamina B12 
[µg]","Vitamina C 
[mg]","Folatos 
[µg]","Cinza 
[g]","Sódio 
[mg]","Potássio 
[mg] ","Cálcio 
[mg]","Fósforo 
[mg]","Magnésio 
[mg]","Ferro 
[mg]","Zinco 
[mg]","Selénio 
[µg]","Iodo 
[µg]",alimento_hc
624,"Abacate, Hass",Frutos e produtos derivados de frutos,Fruta utilizada como fruta,"Frutos diversos com casca não comestível, grandes",176,726,17.4,4.2,10,2.3,1.1,0,2.3,2.3,0,0,3,1.1,0,0,71.5,0,0,5,32,0,2.1,0.1,0.17,1.1,1.3,1.1,0.3,0,3,11,0.75,15,330,4,36,21,0.3,0.3,,,"Abacate, Hass (2.3g HC/100g)"
625,Abóbora cristalizada,Produtos hortícolas e derivados,Produtos hortícolas transformados ou em conserva e produtos similares,Produtos hortícolas cristalizados ou conservados com açúcar,293,1240,0.2,0.1,0,0,0,0,72.4,72.4,0,0,0.7,0,0.1,0,26.4,0,0,45,207,0,0,0,0,0,0,0,0,0,0,0,0.15,27,22,28,2,3,0.4,0.1,,,Abóbora cristalizada (72.4g HC/100g)
579,Abóbora crua,Produtos hortícolas e derivados,Frutos de hortícolas,Frutos vegetais de cucurbitáceas,11,47,0.2,0.1,0,0,0,0,1.7,1.4,0,0.3,0.7,0.3,0,0,96.6,0,0,160,962,0,1,0.01,0.01,0.6,0.6,0,0.04,0,12,8,0.4,1,200,25,5,5,0.1,0.1,,,Abóbora crua (1.7g HC/100g)
801,Abrótea cozida,"Peixes, mariscos, anfíbios, répteis e invertebrados",Peixe (músculo),Peixe de mar,79,334,0.1,0,0,0.1,0,0,0,0,0,0,0,19.4,0.9,0,78.5,0,26,1,0,0.4,0.04,0.03,0.02,0.47,4.1,3.6,0.05,0.4,0,12,2,360,360,13,270,36,0.2,0.6,,22,Abrótea cozida (0g HC/100g)
800,Abrótea crua,"Peixes, mariscos, anfíbios, répteis e invertebrados",Peixe (músculo),Peixe de mar,70,296,0.1,0,0,0,0,0,0,0,0,0,0,17.2,0.2,0,81.5,0,22,1,0,0.4,0.04,0.03,0.03,0.56,3.8,3.2,0.06,0.44,0,12,1.1,63,360,11,230,28,0.2,0.5,,,Abrótea crua (0g HC/100g)
1188,Açafrão,"Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias",Especiarias ,"Flores ou partes de flores, utilizadas como especiarias ou similares",353,1490,5.9,1.6,0.4,2.1,2,0,61.5,42.4,0,17.4,3.9,11.4,0.4,0,11.9,0,0,53,318,0,1.69,0.12,0.27,1.5,2.2,0.7,1.3,0,0,0,3,150,1720,110,250,50,11,1.1,,,Açafrão (61.5g HC/100g)
1187,Açafrão-da-índia seco,"Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias",Especiarias ,Especiaria de de raízes e tubérculos,312,1300,7,2.9,0.6,2.9,2.7,0,44.1,44.1,0,0,22.7,6.7,0.1,0,9.9,0,0,3,15,0,5,0.09,0.11,3.7,6.2,2.5,0,0,0,0,7.08,31,2910,170,290,190,40,3.2,,,Açafrão-da-índia seco (44.1g HC/100g)
1900000023,Acelga crua,Produtos hortícolas e derivados,Hortícolas folhosos,Folhas do tipo espinafre,23,97,0.2,0,0,0.1,0,0,2.7,0.6,0,2.1,1.6,1.8,0.5,0,92.7,0,0,766,4600,0,0.6,0.04,0.09,0.4,0.69,0.29,0.1,0,30,89.5,1.6,210,380,51,46,81,1.8,0.4,,,Acelga crua (2.7g HC/100g)
1008,Açorda,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",104,435,4,0.6,0.6,0.6,0.53,0.6,13.1,0.5,0,12.6,1,3.3,0.5,0,77.9,0,41,22,17,0.2,0.58,0.02,0.09,0.32,1.13,0.81,0.06,0.1,1.9,12,0.764,210,58,17,56,9.4,0.8,0.4,,,Açorda (13.1g HC/100g)
1010,Açorda à alentejana,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",95,400,3.3,0.7,1.7,0.6,0.512,0,12.3,0.5,0,11.8,0.9,3.5,0.6,0,79.1,0,51,27,16,0.2,0.52,0.02,0.1,0.3,1.18,0.88,0.07,0.13,1.8,13,0.818,230,58,17,58,9.4,0.8,0.4,,,Açorda à alentejana (12.3g HC/100g)
1011,Açorda de bacalhau,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",69,290,3.5,0.6,2.4,0.4,0.336,0,5.7,0.4,0.1,5.3,0.5,3.4,0.6,0,86.9,0,23,9,10,0.6,0.56,0.02,0.04,0.24,1.07,0.82,0.04,0.14,1.4,6.4,0.717,240,40,14,39,7.2,0.4,0.3,,,Açorda de bacalhau (5.7g HC/100g)
1014,Açorda de marisco,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",51,216,1.2,0.2,0.5,0.2,0.167,0,5.4,0.2,0,5.2,0.4,4.5,0.4,0,87.4,0,32,15,5,0.1,0.23,0.02,0.05,0.58,1.58,1,0.03,6.9,0.6,7.3,0.817,170,47,23,61,20,1.7,0.4,,,Açorda de marisco (5.4g HC/100g)
949,Açorda de ovo,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",108,454,4,0.7,2.2,0.6,0.552,0,14,0.5,0,13.5,0.9,3.6,0.8,0,76.5,0,48,22,0,0.2,0.57,0.02,0.1,0.32,1.2,0.89,0.06,0.12,0,13,1,320,45,16,60,10,0.8,0.4,,,Açorda de ovo (14g HC/100g)
502,Açúcar amarelo,"Açúcar e similares, confeitaria e sobremesas doces à base de água",Açúcar e outros adoçantes (excluindo os adoçantes intensivos),Açúcares (mono e dissacarídeos),390,1660,0,0,0,0,0,0,97.5,97.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,18,53,40,7,7,0.9,0.1,,,Açúcar amarelo (97.5g HC/100g)
503,Açúcar branco,"Açúcar e similares, confeitaria e sobremesas doces à base de água",Açúcar e outros adoçantes (excluindo os adoçantes intensivos),Açúcares (mono e dissacarídeos),397,1690,0,0,0,0,0,0,99.3,99.3,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,2,2,0,0,0,0,,,Açúcar branco (99.3g HC/100g)
580,Agrião cru,Produtos hortícolas e derivados,Hortícolas folhosos,Agriões e similares-,29,122,0.9,0.3,0.1,0.4,0.1,0,0.4,0.4,0,0,3,3.4,0.1,0,91.2,0,0,325,1950,0,1.5,0.09,0.07,0.6,1.1,0.5,0.23,0,77,200,1.15,49,230,200,56,15,1.7,0.2,,,Agrião cru (0.4g HC/100g)
2,"Água mineral natural gaseificada, ""Água Castello""",Água e bebidas à base de água,Água potável,Água engarrafada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,4,0.1,9.1,0,3,0,0,,,"Água mineral natural gaseificada, ""Água Castello"" (0g HC/100g)"
5,"Água mineral natural gaseificada, ""Vimeiro""",Água e bebidas à base de água,Água potável,Água engarrafada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,17,0.6,12,0,4,0,0,,,"Água mineral natural gaseificada, ""Vimeiro"" (0g HC/100g)"
3,"Água mineral natural gasocarbónica, ""Pedras Salgadas""",Água e bebidas à base de água,Água potável,Água engarrafada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,64,2,19,0,2,0.5,0.1,,,"Água mineral natural gasocarbónica, ""Pedras Salgadas"" (0g HC/100g)"
4,"Água mineral natural, ""Luso""",Água e bebidas à base de água,Água potável,Água engarrafada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0,0.1,0,0.1,,,"Água mineral natural, ""Luso"" (0g HC/100g)"
1,"Água, rede pública de abastecimento (Lisboa)",Água e bebidas à base de água,Água potável,Água não engarrafada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,2,0.2,4,0,0.5,0,0.1,,,"Água, rede pública de abastecimento (Lisboa) (0g HC/100g)"
729,Aguardente,Bebidas alcoólicas,Bebidas espirituosas não açucaradas e licores ,Bebidas espirituosas não açucaradas,308,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,44,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Aguardente (0g HC/100g)
959,Aipo cru,Produtos hortícolas e derivados,Ervas e flores comestíveis,Ervas aromáticas,15,64,0.1,0,0,0.1,0.1,0,1.5,1.5,0,0,2,1.1,0.3,0,94.4,0,0,0,0,0,0.2,0.05,0.04,0.3,0.4,0.1,0.07,0,8,16,0.94,100,300,55,32,13,0.6,0.1,,,Aipo cru (1.5g HC/100g)
583,Alcachofra cozida,Produtos hortícolas e derivados,Caules e hastes de vegetais,Alcachofras e similatres,46,193,0.2,0,0,0.1,0.1,0,5.3,2.1,0,3.2,5.6,3,0.4,0,85.1,0,0,20,120,0,0.2,0.06,0.02,0.5,1.1,0.6,0.09,0,6,42,0.85,170,200,42,90,33,0.8,0.5,,,Alcachofra cozida (5.3g HC/100g)
582,Alcachofra crua,Produtos hortícolas e derivados,Caules e hastes de vegetais,Alcachofras e similatres,51,214,0.2,0,0,0.1,0.1,0,6.8,2.7,0,4.1,5,3,0.2,0,83.7,0,0,20,120,0,0.2,0.08,0.03,0.8,1.3,0.5,0.1,0,9,74,0.85,84,350,40,90,49,1,0.5,,,Alcachofra crua (6.8g HC/100g)
1900000033,Alcaparras (picles),Produtos hortícolas e derivados,Produtos hortícolas transformados ou em conserva e produtos similares,Hortícolas fermentados ou em conserva,44,183,0.9,0.2,0.1,0.3,0.1,0,4.9,0.4,0,4.5,3.2,2.4,7.4,0,83.8,0,0,14,83,0,0.9,0.02,0.14,0.7,1.2,0.5,0.02,0,4,74,3.08,2960,40,40,10,33,1.7,0.3,1,,Alcaparras (picles) (4.9g HC/100g)
1189,Alecrim fresco,Produtos hortícolas e derivados,Ervas e flores comestíveis,Ervas aromáticas,115,478,4.4,1.1,0.3,2.3,2.2,0,13.5,13.5,0,0,7.7,1.4,0,0,73.6,0,0,92,550,0,1.5,0.1,0.21,1,1.3,0.3,0.09,0,29,0,3,15,280,370,20,40,8.5,0.9,,,Alecrim fresco (13.5g HC/100g)
1190,"Alecrim, seco","Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias",Especiarias ,Ervas secas,377,1580,15.2,3.9,1,7.8,7.5,0,46.4,46.4,0,0,17.7,4.9,0.1,0,9.3,0,0,313,1876,0,9.15,0.1,0.32,1,1.2,0.2,0.38,0,0,0,3,50,950,1280,70,120,29,3.2,,,"Alecrim, seco (46.4g HC/100g)"
584,Alface,Produtos hortícolas e derivados,Hortícolas folhosos,Alfaces e outros vegetais para salada,15,62,0.2,0,0,0.1,0,0,0.8,0.8,0,0,1.3,1.8,0,0,95.9,0,0,115,688,0,0.6,0.06,0.02,0.4,0.5,0.1,0.04,0,4,55,0.65,3,310,70,46,22,1.5,0.4,,2.2,Alface (0.8g HC/100g)
1900000024,Alface roxa,Produtos hortícolas e derivados,Hortícolas folhosos,Alfaces e outros vegetais para salada,15,61,0.2,0,0,0.1,0,0,1.4,0.5,0,0,0.9,1.3,0.1,0,95.6,0,0,751,4495,0,0.15,0.06,0.08,0.32,0.42,0.1,0.1,0,3.7,36,0.55,25,190,33,28,12,1.2,0.2,1.5,2.5,Alface roxa (1.4g HC/100g)
339,Alheira cozida sem adição de sal,Carne e produtos cárneos,Enchidos,Enchidos preservados ou parcialmente preservados,269,1130,14,4.1,5.1,3.2,2.9,0,26.8,1,0,25.8,1.4,8.3,1.5,0,48.9,0,31,0,0,0,0.3,0.02,0.07,1.9,3.2,1.3,0.02,0.7,0,0.7,2,590,76,20,51,16,0.3,1.1,,13,Alheira cozida sem adição de sal (26.8g HC/100g)
338,Alheira crua,Carne e produtos cárneos,Enchidos,Enchidos preservados ou parcialmente preservados,309,1290,18.1,5.2,6.6,4.1,3.7,0.1,27.4,1,0,26.4,1.4,8.3,1.7,0,43.8,0,32,0,0,0,0.3,0.02,0.07,2.4,3.7,1.3,0.03,1,0,1,2.4,670,86,19,52,16,0.3,1.1,,,Alheira crua (27.4g HC/100g)
340,Alheira grelhada sem adição de sal,Carne e produtos cárneos,Enchidos,Enchidos preservados ou parcialmente preservados,302,1260,17,4.9,6.2,3.9,3.5,0.1,28.5,1,0,27.5,1.5,8.1,1.7,0,44.1,0,33,0,0,0,0.3,0.02,0.07,2.1,3.5,1.4,0.02,0.9,0,0.9,2.3,700,90,20,54,17,0.3,1.2,,13,Alheira grelhada sem adição de sal (28.5g HC/100g)
8,Alho cru,Produtos hortícolas e derivados,Bolbos,Alho e similares,72,303,0.6,0.1,0,0.3,0.3,0,11.3,1.3,0,10,3,3.8,0,0,79.8,0,0,0,0,0,0.01,0.21,0.02,0.6,1.4,0.8,0.38,0,17,3,1,10,350,17,86,17,0.8,0.7,,,Alho cru (11.3g HC/100g)
9,Alho em pó,Produtos hortícolas e derivados,Produtos hortícolas transformados ou em conserva e produtos similares,Horticolas secos,310,1310,1.2,0.2,0,0.6,0.6,0,52.3,6,0,46.3,10,17.6,0.1,0,6.5,0,0,0,0,0,0.03,0.47,0.09,0.7,4.5,3.8,0.99,0,0,0,3.3,23,1230,73,320,60,3.3,2.6,,,Alho em pó (52.3g HC/100g)
581,Alho-francês cru,Produtos hortícolas e derivados,Caules e hastes de vegetais,Alhos francês e similares,26,110,0.3,0.1,0,0.2,0.1,0,2.9,2.2,0.4,0.3,2.4,1.8,0,0,91,0,0,124,745,0,0.67,0.29,0.05,0.4,0.6,0.2,0.48,0,20,87,0.86,4,240,24,44,11,1,0.2,,,Alho-francês cru (2.9g HC/100g)
1035,Almôndegas de porco,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",234,983,8.9,2.8,3.6,1.3,1.21,0.1,29.2,2.2,0.2,26.8,2.2,8,0.9,0,49.7,0.3,75,55,111,0.4,0.6,0.16,0.18,1.5,3.27,1.73,0.2,0.26,12.6,30,1.69,370,210,54,140,25,1.6,1,,,Almôndegas de porco (29.2g HC/100g)
1036,Almôndegas de vaca,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",252,1050,17.4,7.1,6.7,1,0.942,0.6,6.4,1.1,0.2,5.1,0.7,17,0.9,0,56.2,0,95,71,149,0.5,0.54,0.12,0.2,2.9,6.61,3.66,0.41,1.5,11.2,28,1.99,370,310,44,220,24,1.1,2.5,,,Almôndegas de vaca (6.4g HC/100g)
373,Almôndegas de vaca e porco ,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",243,1010,16.7,6.9,5.5,2.7,2.42,0.3,3.8,1.2,0,2.6,0.2,19.2,1.9,0,57,0,100,70,32,0.6,0.34,0.13,0.2,3,8.21,4.16,0.23,1.1,0.2,8.7,2.85,770,240,39,200,22,1.4,3.7,,,Almôndegas de vaca e porco  (3.8g HC/100g)
908,Amêijoa aberta ao natural sem sal,"Peixes, mariscos, anfíbios, répteis e invertebrados",Moluscos,Amêijoas e berbigões,131,553,1.8,0.4,0.2,0.4,0,0,5.2,0,0,5.2,0,23.4,1.2,0,65.9,0,88,175,0,0.2,0.58,0.06,0.3,3.2,8.2,5,0.07,67,0,16,2,490,160,100,360,210,17,4.2,,160,Amêijoa aberta ao natural sem sal (5.2g HC/100g)
907,Amêijoa crua,"Peixes, mariscos, anfíbios, répteis e invertebrados",Moluscos,Amêijoas e berbigões,65,276,0.9,0.2,0.1,0.2,0,0,2.6,0,0,2.6,0,11.7,0.6,0,81.1,0,44,97,0,0.1,0.29,0.04,0.15,1.7,4.2,2.5,0.04,37,0,9.5,1,240,78,51,180,100,8.5,2.1,,,Amêijoa crua (2.6g HC/100g)
1162,Amêijoas à Bulhão Pato,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",89,374,2.5,0.4,1.3,0.4,0.121,0,3.2,0.3,0,2.9,0.4,12.8,0.7,0,76.7,0.5,47,110,34,0.1,0.62,0.05,0.17,1.9,4.61,2.72,0.06,40,9,12,1.21,260,130,63,200,110,9.3,2.3,,,Amêijoas à Bulhão Pato (3.2g HC/100g)
626,Ameixa branca,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,Frutos de caroço,40,171,0.2,0,0.1,0.1,0.1,0,7.8,7.8,0,0,1.6,0.6,0.1,0,89,0.6,0,107,640,0,0.61,0.02,0.06,0.6,0.7,0.1,0.05,0,2,3,0.36,52,140,3,12,5,0.1,0.1,,,Ameixa branca (7.8g HC/100g)
627,Ameixa encarnada,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,Frutos de caroço,41,172,0.2,0,0.1,0.1,0.1,0,7.4,7.4,0,0,1.9,0.8,0,0,88,0.8,0,70,420,0,0.6,0.02,0.08,0.5,0.6,0.1,0.05,0,2,6,0.31,2,190,13,13,7,0.2,0,,,Ameixa encarnada (7.4g HC/100g)
630,Ameixa rainha Cláudia,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,Frutos de caroço,57,242,0.1,0,0.1,0,0,0,11.8,11.8,0,0,2.3,0.8,0,0,82,0.4,0,16,95,0,0.6,0.05,0.04,0.6,0.7,0.1,0.05,0,5,3,0.6,1,280,15,23,8,0.4,0.1,,,Ameixa rainha Cláudia (11.8g HC/100g)
631,Ameixa seca,Frutos e produtos derivados de frutos,Produtos de frutos processados,Frutos secados,198,834,0.3,0,0.2,0.1,0,0,37.8,37.8,0,0,15.6,2.9,0,0,40,0.5,0,119,715,0,2.3,0.04,0.08,1,1.2,0.2,0.13,0,1,4,2.1,12,830,38,68,26,3,0.6,,,Ameixa seca (37.8g HC/100g)
628,"Ameixa, conserva em calda de açúcar",Frutos e produtos derivados de frutos,Produtos de frutos processados,Outros frutos processados (excluindo bebidas),115,486,0.2,0,0.1,0.1,0.1,0,27.5,27.5,0,0,1,0.2,0,0,71,0,0,80,480,0,0.25,0.03,0.03,0.3,0.3,0,0.03,0,1,0,0.25,6,95,11,6,5,0.3,0.1,,,"Ameixa, conserva em calda de açúcar (27.5g HC/100g)"
697,"Amêndoa, miolo, com pele","Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias","Frutos de casca rija, sementes oleaginosas e frutos oleaginosos",Frutos de casca rija,643,2660,56,4.7,34.5,14.3,13.9,0,7.2,4.6,0,2.6,12,21.6,0,0,4.9,0,0,0,0,0,24,0.21,0.75,2.2,5.7,3.5,0.15,0,1,49,3,6,860,270,410,260,4,3.1,,,"Amêndoa, miolo, com pele (7.2g HC/100g)"
698,"Amêndoa, miolo, torrada, sem pele","Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias","Frutos de casca rija, sementes oleaginosas e frutos oleaginosos",Frutos de casca rija,650,2690,56.8,4.7,35.1,14.5,14.1,0,7.1,5,0,2.1,12.2,21.6,0,0,3,0,0,0,0,0,25,0.13,0.57,2.1,5.6,3.5,0.09,0,0,37,3,6,870,270,410,260,4.1,3.2,,,"Amêndoa, miolo, torrada, sem pele (7.1g HC/100g)"
699,"Amendoim, miolo","Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias","Frutos de casca rija, sementes oleaginosas e frutos oleaginosos",Sementes oleaginosas,589,2440,47.7,8.5,21.8,14.8,14.3,0,10.1,4.8,0,5.3,8.8,25.4,0,0,5.7,0,0,0,0,0,9.9,0.9,0.13,15,20,5.5,0.44,0,0,110,2.6,7,680,62,380,180,2.2,3.2,,,"Amendoim, miolo (10.1g HC/100g)"
701,"Amendoim, miolo, torrado com sal","Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias","Frutos de casca rija, sementes oleaginosas e frutos oleaginosos",Sementes oleaginosas,614,2540,51.8,9.2,23.7,16.1,15.5,0,6.6,3.6,0,3,8.3,26.2,1.1,0,2.5,0,0,0,0,0,0.66,0.22,0.13,14,19,5.2,0.47,0,0,52,3.6,420,820,35,360,160,1.2,2.7,,,"Amendoim, miolo, torrado com sal (6.6g HC/100g)"
700,"Amendoim, miolo, torrado sem sal","Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias","Frutos de casca rija, sementes oleaginosas e frutos oleaginosos",Sementes oleaginosas,605,2500,49.6,8.8,22.7,15.4,14.8,0,9.5,4.5,0,5,8.9,25.6,0,0,2.5,0,0,0,0,0,1.1,0.22,0.13,14,20,5.5,0.47,0,0,66,3.6,6,740,57,370,170,2.1,3,,,"Amendoim, miolo, torrado sem sal (9.5g HC/100g)"
1900000089,Amora,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,Bagas e frutos pequenos,43,179,0.9,0,0,0.3,0.2,0,4.5,4.2,0,0,4.6,1.4,0,0,88,0.9,0,27,164,0,4.42,0.02,0.04,0.54,0.74,0.2,0.05,0,16.5,25,0.395,1.8,240,28,33,22,0.6,0.5,0.1,0.4,Amora (4.5g HC/100g)
632,Ananás ,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,"Frutos diversos com casca não comestível, grandes",47,201,0.2,0,0.1,0.1,0.1,0,9.5,9.5,0,0,1.2,0.5,0,0,87.6,1.1,0,3,20,0,0.1,0.04,0.03,0.6,0.7,0.1,0.09,0,16,5,0.2,2,160,18,7,13,0.3,0.1,,3.7,Ananás  (9.5g HC/100g)
1900000104,Ananás desidratado,Frutos e produtos derivados de frutos,Produtos de frutos processados,Frutos secados,363,1540,1.5,0,0.8,0.8,0.8,0,72.8,72.8,0,0,9.2,3.8,0,0,5,8.2,0,,,0,0.77,,0.23,4.6,5.36,0.77,0.69,0,,38.3,1.53,15,1230,140,54,100,2.3,0.8,,,Ananás desidratado (72.8g HC/100g)
633,"Ananás, conserva em calda de açúcar",Frutos e produtos derivados de frutos,Produtos de frutos processados,Outros frutos processados (excluindo bebidas),98,417,0.1,0,0.1,0,0,0,23.2,23.2,0,0,1,0.2,0,0,74.9,0.6,0,2,11,0,0.06,0.03,0.02,0.2,0.2,0,0.08,0,7,1,0.34,2,110,17,5,11,0.3,0.1,,3.6,"Ananás, conserva em calda de açúcar (23.2g HC/100g)"
1191,"Anchova, conserva em óleo, escorrido","Peixes, mariscos, anfíbios, répteis e invertebrados",Peixe e produtos da pesca processados,Peixe processado ou conservado (incluindo vísceras processadas),191,798,10,1.6,5.3,1.8,1.76,0.5,0,0,0,0,0,25.2,9.8,0,46.4,0,63,57,0,3,0.6,0.02,0.1,3.8,8.5,0,0.51,11,0,18,11.6,3930,230,300,300,56,4.1,3,,,"Anchova, conserva em óleo, escorrido (0g HC/100g)"
635,Anona,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,"Frutos diversos com casca não comestível, grandes",82,349,0.4,0,0.2,0.1,0.1,0,16.8,14.8,0,2,2.4,1.7,0,0,77.7,0,0,1,6,0,0.1,0.1,0.11,0.9,1,0.1,0.2,0,17,5,0.55,11,240,6,31,23,0.3,0.2,,,Anona (16.8g HC/100g)
1900000105,Anona desidratada,Frutos e produtos derivados de frutos,Produtos de frutos processados,Frutos secados,351,1480,1.7,0,0.9,0.4,0.4,0,71.6,63,0,8.5,10.2,7.2,0.1,0,5,0,0,,,0,0.43,,0.47,3.83,4.26,0.43,0.85,0,,21.3,2.34,47,1000,26,130,98,1.3,0.9,,,Anona desidratada (71.6g HC/100g)
1087,Arroz à valenciana,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)",Pratos à base de massas alimentícias e arroz (ou outro cereal),111,463,5.3,1.4,2.4,0.8,0.437,0,7.7,0.7,0.1,7,0.8,7.6,0.5,0,77.4,0,29,86,267,0.5,0.67,0.11,0.06,1.9,3.33,1.51,0.15,4,13.2,13,0.946,180,150,23,89,21,1.5,0.7,,,Arroz à valenciana (7.7g HC/100g)
402,Arroz agulha cru,Cereais e produtos à base de cereais,Cereais e seus derivados primários,Grãos de cereais (e grãos semelhantes a cereais),347,1470,0.4,0.1,0.1,0.1,0.1,0,78.1,0,0,78.1,2.1,6.7,0,0,13.9,0,0,0,0,0,0.1,0.06,0.03,2,3.4,1.4,0.29,0,0,19,0.5,6,94,13,87,32,0.6,1.3,,,Arroz agulha cru (78.1g HC/100g)
400,Arroz carolino branqueado cru,Cereais e produtos à base de cereais,Cereais e seus derivados primários,Grãos de cereais (e grãos semelhantes a cereais),357,1520,0.5,0.1,0.1,0.2,0.2,0,79.6,0,0,79.6,2.2,7.4,0,0,10.7,0,0,0,0,0,0.1,0.07,0.03,2,3.6,1.6,0.3,0,0,20,1,6,110,11,92,13,0.6,1.3,,,Arroz carolino branqueado cru (79.6g HC/100g)
403,Arroz cozido simples,Cereais e produtos à base de cereais,Cereais e seus derivados primários,Grãos de cereais (e grãos semelhantes a cereais),125,532,0.2,0,0.1,0.1,0,0,28,0,0,28,0.8,2.5,0.8,0,68.4,0,0,0,0,0,0,0.01,0.01,0.6,1.1,0.5,0.08,0,0,5.8,0.9,310,36,7,33,15,0.2,0.6,,0.6,Arroz cozido simples (28g HC/100g)
1058,Arroz de bacalhau,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)",Pratos à base de massas alimentícias e arroz (ou outro cereal),90,379,1.6,0.2,1.2,0.2,0.196,0,15.3,1.4,0.1,13.9,0.9,3.1,0.4,0,78.4,0,4,28,163,0.3,0.65,0.05,0.02,0.66,1.25,0.58,0.12,0.07,7.2,11,0.812,170,120,11,34,9.3,0.4,0.4,,,Arroz de bacalhau (15.3g HC/100g)
1059,Arroz de bacalhau com margarina,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)",Pratos à base de massas alimentícias e arroz (ou outro cereal),91,383,2.1,1,0.4,0.6,0.552,0,12.2,0.8,0.1,11.2,0.7,5.4,1,0,78.4,0,11,79,396,1,0.34,0.04,0.03,0.69,1.69,1,0.1,0.2,5.2,8.7,1.32,400,110,16,47,11,0.3,0.4,,,Arroz de bacalhau com margarina (12.2g HC/100g)
